6194	255
6194	980
6194	2992
6194	2507
6194	986
6194	4003
0	82
15	343
15	4282
15	5442
15	1162
15	3401
7106	6211
7106	6611
7106	1348
7106	2239
2	5842
3	3363
3	1277
3	3739
3	6882
3	4947
3	5740
3	5550
4	4087
5	2481
5	5269
5	1
5	3401
6	6072
6	3996
6	448
6	1673
6	3079
6	436
6	2126
6	743
6	4115
6	6286
7	2787
7	1339
8	6926
9	3401
9	3756
9	1773
9	5945
9	5424
9	474
9	2872
9	2439
9	6121
9	2352
9	6168
9	3258
10	6269
11	4291
11	6536
11	2054
11	2677
12	5237
12	2176
13	4198
13	3322
13	6553
13	3418
13	1615
13	888
13	1654
13	4945
13	5630
13	5032
13	23
13	2339
6726	4949
14	615
14	2779
14	1089
14	3846
14	3815
14	2481
14	4302
14	3706
14	5470
14	4486
2811	3826
2811	1536
2811	1044
2811	1960
2811	4639
2811	5453
2811	4024
2811	231
2811	2922
2811	2381
1	954
1	6448
1	1376
1	660
1	2292
1	3532
1	1883
1	5468
1	6716
1	1132
1	4710
1	7051
1	3739
1	3180
1	3235
1	6343
1	5212
1	887
1	4406
1	3241
1	4319
1	259
1	3807
1	1390
1	1115
16	2444
16	5892
16	6315
16	6079
16	1752
104	4406
104	581
104	7069
104	6136
18	6136
18	4140
19	485
19	365
19	3731
19	4967
19	6682
19	2819
19	5146
19	5358
19	3325
20	559
20	4482
20	2156
20	7054
20	2580
20	6299
20	3704
21	745
21	1414
21	710
21	4960
21	4700
21	6554
21	1158
22	4543
22	1773
23	700
23	1016
23	5052
23	211
23	5556
23	737
23	4230
23	3845
23	5554
23	3847
23	2872
23	5973
23	3108
23	2428
23	2218
23	1567
23	219
23	5069
23	2275
23	2557
23	912
23	506
23	6553
23	6213
23	5451
23	6422
23	5338
23	4748
23	3237
23	2566
23	1846
23	2590
23	3243
23	2002
23	3462
23	932
23	30
23	6750
23	877
23	3052
23	3138
23	6121
23	5530
23	6459
23	2166
23	748
23	6941
23	6168
23	3621
23	2529
23	888
23	7119
23	2345
23	3997
23	4161
23	4115
23	1175
24	208
24	2625
24	100
24	2609
24	3278
24	3495
24	3166
24	453
24	1961
24	5337
24	3285
24	2381
24	446
24	3617
24	938
24	1836
24	3589
24	748
24	345
24	5396
24	5073
24	1625
24	3290
24	6808
24	2740
24	6121
24	1948
24	56
24	1576
24	2761
24	5100
24	5693
24	788
24	6357
24	1089
24	5842
24	26
24	3462
24	4191
24	2853
24	4098
24	5093
24	5758
24	4681
24	5969
24	372
24	2403
24	2186
24	2062
24	4866
24	1438
24	3320
24	4673
24	778
24	6812
24	2332
24	3991
24	5644
24	5899
24	4876
24	1869
24	3999
24	5163
24	4444
24	2314
24	2419
24	4239
24	1877
24	792
24	6950
24	5792
24	6716
